term	strength	rank
rio de janeiro	1171	197
germination	1175	198
birds	1187	199
seasons	1190	200
growth rate	1202	201
functional diversity	1209	202
sustainability	1241	203
article	1251	204
agroforestry	1272	205
passive restoration	1276	206
seed dispersal	1307	207
rain forest	1345	208
land cover	1356	209
riparian forest	1382	210
landsat	1397	211
tropical dry forest	1398	212
nitrogen	1447	213
cultivation	1452	214
minas gerais	1479	215
forest management	1485	216
soil fertility	1486	217
classification	1488	218
ecology	1532	219
araucaria	1538	220
aves	1538	220
vegetation structure	1547	222
biodiversity conservation	1557	223
agricultural land	1574	224
ecosystem function	1580	225
bird	1583	226
aboveground biomass	1614	227
tropics	1622	228
forest recovery	1638	229
nutrients	1661	230
deciduous forest	1664	231
adult	1672	232
eucalyptus	1674	233
fragmentation	1688	234
climate change	1702	235
colonization	1707	236
caatinga	1724	237
seed bank	1734	238
savanna	1757	239
reforestation	1793	240
forest structure	1798	241
timber	1842	242
degraded areas	1871	243
rivers	1875	244
cattle	1877	245
resilience	1899	246
animal	1953	247
gis	2005	248
pioneer species	2007	249
mortality	2029	250
logging	2045	251
species diversity	2057	252
chronosequence	2060	253
regrowth	2077	254
forest cover	2111	255
survival	2125	256
brazilian atlantic forest	2151	257
recruitment	2177	258
forestry	2191	259
old-growth forest	2208	260
cerrado	2231	261
ecological succession	2267	262
dry forest	2275	263
native species	2294	264
forest succession	2369	265
understory	2435	266
fire	2440	267
rainforest	2567	268
brazilian amazon	2628	269
mining	2736	270
ecological restoration	2739	271
degradation	2744	272
monitoring	2772	273
biome	2781	274
ecosystem services	2810	275
ecosystem service	2952	276
agriculture	2965	277
floristic composition	2972	278
successional stages	3005	279
dispersal	3118	280
dominance	3155	281
forest regeneration	3173	282
seeds	3207	283
soils	3236	284
herb	3291	285
sampling	3305	286
grass	3376	287
climate	3708	288
basal area	3833	289
shrub	3841	290
species composition	3917	291
deforestation	4056	292
secondary succession	4145	293
development	4173	294
tropical forests	4225	295
human	4422	296
water	4455	297
forest restoration	4480	298
ecosystems	4568	299
land use	4603	300
plantation	4778	301
secondary forests	4805	302
carbon	4909	303
disturbance	5152	304
plants	5273	305
biomass	5335	306
amazonia	5704	307
floristic	5893	308
species richness	6099	309
seedling	6149	310
season	6162	311
dynamics	6175	312
wood	6216	313
abundance	6349	314
biodiversity	6931	315
tropical forest	6980	316
management	7218	317
secondary forest	7226	318
atlantic forest	7445	319
conservation	7469	320
pasture	7513	321
recovery	7529	322
landscape	8241	323
para	8660	324
rain	8755	325
density	9484	326
trees	9489	327
amazon	9580	328
richness	9744	329
ecosystem	9911	330
seed	9949	331
growth	10473	332
restoration	11442	333
structure	11757	334
soil	12385	335
vegetation	12491	336
natural regeneration	13116	337
succession	15465	338
diversity	16000	339
forests	17068	340
plant	17810	341
regeneration	17969	342
tree	18177	343
brazil	23932	344
ant	32373	345
forest	33556	346
