id,author,year,period_of_year,title,obj_plant,obj_animal,obj_ecosystem,communities_populations,obj_ecosystem_int,obj_landscape,obj_socioecological,obj_soil,obj_interactions,obj_climate,obj_litter,obj_others,exclusives,high_level,high_com,high_ecos,high_landscape,high_socio,object_of_study_anthropic,object_of_study_interaction,plant_seeds,plant_juvenile,plant_adults,plant_not_specified,atlantic_forest,amazon,cerrado,caatinga,pampa
22,"Valente, C. and Moura, C. and Hollunder, R. and Cabral, R. and Rodrigues, N. and Lobato, L. and Dias, H. and Da Silva, G.",2024,2021-2025,Diversity and structure of tree and regenerating strata in fragments at different successional stages in the Atlantic Forest of Brazil,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,1,0,1,0,0,0,0
23,"Pavão, Q.S. and Ribeiro, P.G. and Maciel, G.P. and Silva, S.H.G. and Araújo, S.R. and Fernandes, A.R. and Demattê, J.A.M. and Souza Filho, P.W.M.E. and Ramos, S.J.",2024,2021-2025,Texture prediction of natural soils in the Brazilian Amazon through proximal sensors,1,0,0,0,0,1,0,1,0,0,0,0,3,landscape,0,0,1,0,,,0,0,0,1,0,1,0,0,0
24,"Nogueira, E.M. and Clemente, C.M.S. and Yanai, A.M. and dos Reis, M. and Fearnside, P.M.",2024,2021-2025,Cutting of dry forests in a semiarid region of northeastern Brazil,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,0,0,0,1,0
27,"Pinheiro, M.S. and Jardim, M.A.G. and Ferreira, L.V.",2025,2021-2025,"The loss of abundance of individuals, species richness and change in the floristic composition of understory plants result of reduced precipitation in the Caxiuanã National Forest, Pará, Brazil",1,0,0,1,0,0,0,0,0,1,0,0,2,communities,1,0,0,0,,NA,0,0,0,1,0,1,0,0,0
29,"Carvalho Costa, H.S. and Silva, R.F.B. and Da Silveira, N.S. and Vaz, B.A. and Rocca, R.R. and de Jesus Junior, P.R.S. and Vieira, S.A.",2024,2021-2025,Trends in Land-Use and Land-Cover Change: Key Insights for Managing the Atlantic Forest Transition,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,1,0,0,0,0
30,"de Vasconcelos, T.C. and Londe, V. and Zanini, A.M. and Rodrigues, R.R.",2024,2021-2025,Comparative recovery of soil microbial activity and invertebrate abundance and richness in abandoned and planted pastures in Southeastern Brazil,0,1,0,NA,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,0,0,0,0
31,"Da Silva Prestes, C. and De Castro, J.B. and De Carvalho, A.N.C. and Reis, J.T.N. and De Castro Nunes, R. and De Abreu, L.C.P.C. and Albuquerque, G.D.P. and Santos, C.R.C.D. and Pires, H.C.G.",2023,2021-2025,"Soil and litter quality under post mining vegetation and forestry fragment in Capitão Poço, Pará, Brazil",0,0,0,NA,0,0,0,1,0,0,1,0,2,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,0,0
33,"Martins, S.V. and Pilocelli, A. and Kruschewsky, G.C. and Dias, A.A. and Nabeta, F.H. and Villa, P.M.",2024,2021-2025,Seed bank and aboveground vegetation of Atlantic Forest re-growing on mining tailings in Mariana: Highlighting diversity patterns of functional groups,1,0,1,1,1,0,0,0,0,0,0,0,2,ecosystem,0,1,0,0,,,1,0,1,0,1,0,0,0,0
35,"Agapito, B.P. and de Sá, C.F.C. and de Andrade, A.C.S. and de Araujo, D.S.D.",2023,2021-2025,The conservation value of forest fragments in a coastal “Restinga” forest in southeastern Brazil,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,1,0,1,0,0,0,0
37,"Rankine, C. and Sanchez-Azofeifa, A. and do Espirito-Santo, M.M. and Stan, K.",2024,2021-2025,Succession and seasonality of a Brazilian secondary tropical dry forest: Phenology and climate moderation,0,0,0,NA,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,0,1,1,0
38,"Silva, T.R. and Rodrigues, S.B. and Bringel, J.B.D.A. and Sampaio, A.B. and Sano, E.E. and Vieira, D.L.M.",2023,2021-2025,Factors affecting savanna and forest regeneration in pastures across the cerrado,1,0,0,1,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,NA,0,1,0,0,0,0,1,0,0
40,"Bicudo da Silva, R.F. and Moran, E. and Viña, A. and Millington, J.D.A. and Dou, Y. and Vieira, S.A. and Lopez, M.C. and Liu, J.",2023,2021-2025,Toward a forest transition across the Brazilian Atlantic Forest biome,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,1,0,0,0,0
43,"Albuquerque, R.P. and Brandes, A.F.N. and Nascimento, L.B. and Sansevero, J.B.B. and Sánchez-Tapia, A. and Costa, W.S. and Barros, C.F.",2023,2021-2025,Growth analysis highlights the fire-resistance of a ruderal species in the Atlantic Forest,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,0,1,1,0,0,0,0
44,"Santos, T.R.S. and Torre, F.D. and Santos, J.A.S. and Pereira, E.G. and Garcia, Q.S.",2025,2021-2025,Growth-tolerance tradeoffs shape the survival outcomes and ecophysiological strategies of Atlantic Forest species in the rehabilitation of mining-impacted sites,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,0,0,1,0,0,0,0
45,"Williams, B.A. and Beyer, H.L. and Fagan, M.E. and Chazdon, R.L. and Schmoeller, M. and Sprenkle-Hyppolite, S. and Griscom, B.W. and Watson, J.E.M. and Tedesco, A.M. and Gonzalez-Roglich, M. and Daldegan, G.A. and Bodin, B. and Celentano, D. and Wilson, S.J. and Rhodes, J.R. and Alexandre, N.S. and Kim, D.-H. and Bastos, D. and Crouzeilles, R.",2024,2021-2025,Global potential for natural regeneration in deforested tropical regions,0,0,0,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
46,"Felício, A.P. and Carrijo, M.G.G. and Machado, R.G. and Coutinho, C.R.M. and Coelho, C.P. and Bonamin, L.V. and de Souza Cucco, P.H. and Cucco, M.A. and Brum, K.B. and de Souza, M.F.A.",2023,2021-2025,Recovery of fire-damaged “cerrado” area treated with homeopathic preparations in slow dispersion devices – a descriptive study,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,NA,NA,0,1,0,0,0,0,1,0,0
47,"Veras, J.S.D.N. and Escobar, I.E.C. and Mendes-Alvarenga, R.L. and dos Santos, V.M. and da Silva, D.K.A. and da Silva, J.A. and Barros, M.F. and Maia, L.C.",2024,2021-2025,Rainfall and soil properties driver the temporal dynamics of arbuscular mycorrhizal fungal assemblages in a seasonally dry tropical forest,0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,0,0,1,0
48,"Souza, R.C.D. and Pereira, M.G. and Machado, D.L. and Toledo, L.D.O. and Menezes, C.E.G. and Santos, G.L.D. and Coutinho, F.S. and Guareschi, R.F. and Mendonça, V.M.M.",2023,2021-2025,"Nutrient cycling aspects as possible ecosystem functional indicators of successional stage in Semideciduous seasonal forest, Rio de Janeiro state, Brazil",0,0,0,NA,0,0,0,1,0,0,1,0,2,NA,NA,NA,NA,NA,,NA,,,,,1,0,0,0,0
49,"Honey, M. and Biggs, T. and Sousa, D. and Abe, C. and Mullan, K.",2024,2021-2025,Woody vegetation cover on cleared areas in the Amazon Basin: temporal mixture mapping suggests a revised conceptual model of deforestation,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,0,1,0,0,0
50,"Ferreira, K.F. and Silva, J.O. and Cuevas-Reyes, P. and Falcão, L.A.D. and Espírito-Santo, M.M.",2024,2021-2025,"Chronosequence and Temporal Changes in Soil Conditions, Vegetation Structure and Leaf Traits in a Tropical Dry Forest in Brazil",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,1,0,0,0,1,0,0
53,"de Oliveira, V.R. and Ribeiro, A. and Pareyn, F.G.C. and Drumond, M.A. and Porto, D.D. and Kiill, L.H.P. and Ferraz Filho, A.C.",2023,2021-2025,"The influence of clear-cut area size on forest regrowth: a case study in the dry tropical forests of Pernambuco, Brazil",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,0,0,0,0,0,1,0
54,"Fernandes, L.A.F. and Kawakita, K. and Pujals, A. and Batista, V.S. and Romagnolo, M.B.",2023,2021-2025,"The plant community of a stretch of riparian vegetation in the upper Paraná River after 20 years of secondary succession (Batayporã, Mato Grosso do Sul, Brazil)",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,1,0,0,0,1,0,0
55,"Szyja, M. and Felde, V.J.M.N.L. and Lückel, S. and Tabarelli, M. and Leal, I.R. and Büdel, B. and Wirth, R.",2023,2021-2025,Biological soil crusts decrease infiltration but increase erosion resistance in a human-disturbed tropical dry forest,0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,0,0,1,0
56,"de Araújo, G.B. and Vital, M.V.C. and Campos-Silva, J.V. and de Lima, M.M. and Justino, G.C. and Moura, F.",2024,2021-2025,Facilitation in Brazilian semiarid zone: remnant trees show a positive effect on caatinga regeneration,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,0,0,0,0,0,1,0
58,"de Souza, S.M. and Ramos, M.B. and Maciel, M.G.R. and da Cunha, S.S. and de Souza, J.J.L.L. and de Faria Lopes, S.",2024,2021-2025,Effects of Vegetable Cover on the Regeneration Process in Degraded Dry Forest in Brazil,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,1,0,0,0,0,1,0
60,"Ronquim, C.C. and Rodrigues, C.A.G. and Fonseca, M.F. and Nogueira Júnior, L.R.",2024,2021-2025,"Dynamics of the natural regeneration of forest remnants in the state of São Paulo, Brazil",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,0,0,1,0,0,0,0
61,"Zardetto, J. and Siqueira, T.",2024,2021-2025,The effects of white-popinac on regenerating seasonal semideciduous forests propagate across spatial scales,1,0,0,1,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,NA,NA,0,1,0,0,1,0,0,0,0
62,"Pereira, L.M. and Barbosa, F.M. and Das Chagas, K.P.T. and Velazco, S.J.E. and Montagna, T. and Carlucci, M.B. and Blum, C.T.",2024,2021-2025,Influence of<i> Hedychium</i><i> coronarium</i> J. Koenig on secondary succession of a remnant of Mixed Alluvial Ombrophile Forest,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,0,0,1,0,0,0,0
64,"Luz, A.R.C. and Massi, K.G. and Pocius, O. and de Campos, M.M.S. and Santiami, E.L.",2024,2021-2025,LAND COVER EFFECTS ON REGENERANTS DENSITY AND RICHNESS IN RESTORATION TREATMENTS IN THE ATLANTIC RAINFOREST BIOME,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,1,0,0,0,0
65,"Hanke, D. and da Silva Nascimento, S.G. and Dick, D.P. and Vieira, R.C.B. and Deble, L.P.",2024,2021-2025,"Variables related to soil fertility in successional agroforestry systems: Serras do Sudeste, RS, Brazil",0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,1,0,0,0,0
67,"Coelho-Silva, D. and Guimarães, Z.T.M. and Podadera, D.S. and Modolo, G.S. and Rossi, S. and Ferreira, M.J. and Marcati, C.R.",2024,2021-2025,Hydraulic and structural traits of trees across light gradients in the Amazon secondary forest,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,0,1,0,1,0,0,0
69,"Dos Santos, J.R. and De Araujo, L.S. and Da Costa Freitas, C. and De Souza Soler, L. and Gama, F.F. and Dutra, L.V.",2002,2001-2005,Analysis of forest biomass variation in the Amazon and its' influence on the response of P-band SAR polarimetric data,1,0,1,0,1,1,0,0,0,0,0,0,3,landscape,0,0,1,0,,NA,0,0,0,1,0,1,0,0,0
71,"Reis, BP and Zatelli, KS and Torres, FTP and Martins, SV",2018,2016-2020,Influence of Fire on the Natural Regeneration of a Semideciduous Seasonal Rainforest Fragment,1,0,1,1,1,0,0,0,0,0,1,0,3,ecosystem,0,1,0,0,,NA,0,0,0,1,1,0,0,0,0
73,"Garey, M.V. and Zanetti, M.C. and Hartmann, P.A. and Hartmann, M.T.",2024,2021-2025,Effects of secondary forest succession on the richness and composition of frog species in humid tropical forest,0,1,0,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,1,0,0,0,0
74,"Barreto, M.R. and Ben-Hur, R. and De Sousa, M.D.S.M. and Adaime, R.",2023,2021-2025,"FIRST RECORDS OF Neosilba spp. (Diptera: Lonchaeidae) IN THE STATE OF MATO GROSSO, BRAZIL,Soil and litter quality under post mining vegetation and forestry fragment in Capitao P050, Para, Brazil",1,0,1,0,1,0,1,1,0,0,1,0,5,socioecological,0,0,0,1,socioecological,,0,0,0,1,0,1,0,0,0
75,"Oliveira, P.S. and Falcão, L.A.D. and Almeida, J.S. and Fernandes, G.W. and Reis Júnior, R. and Nunes, Y.R.F. and Veloso, M.D.D.M. and Beirão, M.D.V. and Neves, F.D.S. and Solar, R.R.C. and Borges, M.A.Z. and Silva, A.C. and Salomão, R.P. and Iannuzzi, L. and Silva, L.F. and Cabral, G.A.L. and Sampaio, E.V.S.B. and Macedo-Reis, L.E. and Santos, C.F. and Kerpel, S.M. and Souza, R.M. and Cardoso, I.G.S. and do Espírito Santo, M.M.",2024,2021-2025,Diversity patterns along ecological succession in tropical dry forests: a multi-taxonomic approach,1,1,0,1,0,0,0,0,0,0,0,0,2,communities,1,0,0,0,,NA,0,0,1,0,0,0,1,1,0
77,"Hanke, D. and Nascimento, S.G.S. and Dick, D.P. and Viero, F. and Ávila, M.R. and Deble, L.P.",2024,2021-2025,C And N Stocks And Soil Organic Matter Dynamics In Succession Agroforestry Systems In Brazil,0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,0,0,0,1
78,"De La Torre, G.M. and Kirchgatter, K. and Anjos, C.C.D. and Manica, L.T. and Campião, K.M.",2024,2021-2025,Prevalence and composition of haemosporidians in an avian community from a World Heritage area: Associations with host foraging strata and forest regeneration,0,1,0,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,1,0,0,0,0
79,"Soares, A.D.S. and da Silva, M.B. and Fraga, R.E. and Hoppe, E.G.L. and Oliveira, W.J. and Schiavetti, A.",2024,2021-2025,"Helminths of Wied’s marmoset (Callithrix kuhlii (Coimbra-Filho, 1985) (Primates: Callitrichidae)) from the Atlantic Forest, Southern Bahia State, Brazil",0,1,0,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,1,0,0,0,0
81,"Manzoli, E.C. and Gaspar, L.P. and Melo, M.A. and Adorno, B.F.C.B. and Ribeiro, M.C. and Piratelli, A.J.",2024,2021-2025,Forest cover and environment type shape functional diversity of insectivorous birds within the Brazilian Atlantic Forest,1,1,0,0,0,1,0,0,0,0,0,0,3,landscape,0,0,1,0,,,0,0,0,1,1,0,0,0,0
82,"de Azevedo, G.B. and Rezende, A.V. and Azevedo, G.T.O.S. and Miguel, E.P. and Aquino, F.G. and Teodoro, L.P.R. and Teodoro, P.E.",2022,2021-2025,Prognosis of aboveground woody biomass in a central Brazilian Cerrado monitored for 27 years after the implementation of management systems,1,0,1,0,1,0,0,0,0,0,0,0,2,ecosystem,0,1,0,0,,,0,0,0,1,0,0,1,0,0
83,"Da Silva, C.V. and Martins, S.V. and Villa, P.M. and Correa Kruschewsky, G. and Dias, A.A. and Nabeta, F.H.",2021,2021-2025,"Seed bank of mining tailings as indicator of vegetation regeneration in mariana, brazil",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,1,0,0,0,1,0,0,0,0
84,"Yamauchi, D.H. and Garces, H.G. and Teixeira, M.D.M. and Rodrigues, G.F.B. and Ullmann, L.S. and Garces, A.G. and Hebeler-Barbosa, F. and Bagagli, E.",2021,2021-2025,Soil mycobiome is shaped by vegetation and microhabitats: A regional-scale study in Southeastern Brazil,0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,0,1,0,0
85,"Alves, A.M. and Espírito-Santo, M.M.D. and Silva, J.O. and Faccion, G. and Sanchez-Azofeifa, A. and Ferreira, K.F.",2021,2021-2025,"Successional and Intraspecific Variations in Leaf Traits, Spectral Reflectance Indices and Herbivory in a Brazilian Tropical Dry Forest",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,0,1,0,0,1,0,0
86,"Figueiredo, P.H.A. and Sánchez-Tapia, A. and de Siqueira, M.F. and Sansevero, J.B.B.",2022,2021-2025,Linking regeneration niche to monodominance in biodiverse tropical forest landscapes,1,0,0,1,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,1,0,0,0,1,0,0,0,0
87,"Silva, I.M.S. and Calvi, G.P. and Baskin, C.C. and dos Santos, G.R. and Leal-Filho, N. and Ferraz, I.D.K.",2021,2021-2025,Response of central Amazon rainforest soil seed banks to climate change - Simulation of global warming,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,1,0,0,0,0,1,0,0,0
88,"Brasil Neto, A.B. and Brasil, N.M.D.Q.X. and Andrade, P.I.L.D. and Sampaio, A.C.F. and Noronha, N.C. and Carvalho, E.J.M. and Silva, A.R. and Schwartz, G.",2021,2021-2025,The commercial tree species <i>Dipteryx odorata</i> improves soil physical and biological attributes in abandoned pastures,0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,0,0
92,"Martins, P.I. and Belém, L.B.C. and Szabo, J.K. and Libonati, R. and Garcia, L.C.",2022,2021-2025,Prioritising areas for wildfire prevention and post-fire restoration in the Brazilian Pantanal,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,0,0,0,0,0
95,"da Cruz, D.C. and Benayas, J.M.R. and Ferreira, G.C. and Ribeiro, S.S.",2020,2016-2020,Tree communities in three-year-old post-mining sites under different forest restoration techniques in the Brazilian Amazon,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,0,0,0,1,0,0,0
98,"Dodonov, P. and Braga, A.L. and Sales, M.J.D. and Xavier, R.D.O. and Silva Matos, D.M.D.",2020,2016-2020,Remaining eucalypt trees may hamper woody plant regeneration in a neotropical savanna,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,0,1,0,0,1,0,0
99,"Guilherme, F.A.G. and Ferreira, W.C. and Silva, G.E. and Machado, D.L.",2021,2021-2025,"Floristic and structure of different strata in an urban semideciduous forest in jataí, goiás state, brazil",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,1,0,0,0,1,0,0
100,"Dos Passos, M.G. and Do Prado, G.P. and Fontana, C. and Zonta, E.I. and Bianchini, E.",2021,2021-2025,Natural regeneration in a mixed ombrophilous forest remnant in southern Brazil,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,0,0,1,0,0,0,0
102,"Aquino, D.N. and Neto, O.C.R. and Moreira, M.A. and Teixeira, A.S. and de Andrade, E.M.",2018,2016-2020,Use of remote sensing to identify areas at risk of degradation in the semi-arid region,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,0,0,0,1,0
103,"David, H.C. and Fernandes, A.P.D. and Barbosa, E.S. and Neto, R.P.M.",2019,2016-2020,"Natural vegetation dynamics around the Irati National Forest, Brazil, in response to environmental policies and agricultural expansion from 1992 to 2017",1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,1,0,0,0,0
104,"Oliveira, C.D.C.D. and Oliveira, I.R.C.D. and Suganuma, M.S. and Durigan, G.",2019,2016-2020,Overstory trees in excess: A threat to restoration success in Brazilian Atlantic forest,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,1,0,1,0,0,0,0
107,"Menezes, D.P. and Mantovani, W. and Filho, H.F. and Conti, L.A. and Bittencourt, C.",2017,2016-2020,"Applying geographic object-based image analysis (GEOBIA) and data mining to identify secondary forests succession on Santarem Region, Para, Brazil",1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,0,1,0,0,0
108,"Meira, M.R. and Cabacinha, C.D. and da Gama, A.T. and Martins, E.R. and de Figueiredo, L.S.",2016,2016-2020,STRUCTURAL CARACTERIZATION OF BARBATIMAO (<i>Stryphnodendron adstringens</i> (Mart.) Coville) IN THE SAVANNA OF THE NORTH OF STATE MINAS GERAIS,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,1,0,0,0,1,0,0
110,"Trentin, B.E. and Estevan, D.A. and Rossetto, E.F.S. and Gorenstein, M.R. and Brizola, G.P. and Bechara, F.C.",2018,2016-2020,"Forest restoration in the atlantic forest: Passive restoration, nucleation and high diversity plantation",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,0,0,1,0,0,0,0
112,"dos Santos, G.L. and Pereira, M.G. and Delgado, R.C. and Torres, J.L.R.",2017,2016-2020,"Natural regeneration in anthropogenic environments due to agricultural use in the cerrado, Uberaba, MG, Brazil",1,0,0,0,0,1,0,0,0,1,0,0,3,landscape,0,0,1,0,,NA,0,0,0,1,0,0,1,0,0
113,"Rocha, G.P.E. and Vieira, D.L.M. and Simon, M.F.",2016,2016-2020,Fast natural regeneration in abandoned pastures in southern Amazonia,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,1,0,0,1,0,0,0
114,"Rolim, S.G. and Machado, R.E. and Pillar, V.D.",2017,2016-2020,Divergence in a Neotropical forest during 33 years of succession following clear-cutting,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,1,0,1,0,0,0,0
117,"Jakovac, C.C. and Peña-Claros, M. and Kuyper, T.W. and Bongers, F.",2015,2011-2015,Loss of secondary-forest resilience by land-use intensification in the Amazon,1,0,0,1,0,0,1,0,0,0,0,0,2,socioecological,0,0,0,1,socioecological,,1,1,0,0,0,1,0,0,0
118,"do Nascimento, L.M. and de Sá Barretto Sampaio, E.V. and Rodal, M.J.N. and Lins-e-Silva, A.C.B.",2014,2011-2015,Secondary succession in a fragmented Atlantic Forest landscape: evidence of structural and diversity convergence along a chronosequence,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,0,1,1,0,0,0,0
120,"Fleury, M. and Rodrigues, R.R. and Do Couto, H.T.Z. and Galetti, M.",2014,2011-2015,Seasonal variation in the fate of seeds under contrasting logging regimes,0,0,0,NA,1,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,,seed predation,NA,NA,NA,NA,1,0,0,0,0
122,"Corrêa, L.S. and Cardoso-Leite, E. and Castello, A.C.D. and Coelho, S. and Kortz, A.R. and Villela, F.N.J. and Koch, I.",2014,2011-2015,"Structure, Floristic composition and successional characterization of fragments of semideciduous seasonal forest in southeast Brazil",1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,1,0,0,0,1,0,0
