author,year,title,abstract,group
"Davidson, EA; de Carvalho, CJR; Figueira, AM; Ishida, FY; Ometto, JPHB; Nardoto, GB; Sabá, RT; Hayashi, SN; Leal, EC; Vieira, ICG; Martinelli, LA",2007,Recuperation of nitrogen cycling in Amazonian forests following agricultural abandonment,"Phosphorus ( P) is generally considered the most common limiting nutrient for productivity of mature tropical lowland forests growing on highly weathered soils(1-5). It is often assumed that P limitation also applies to young tropical forests, but nitrogen (N) losses during land-use change may alter the stoichiometric balance of nutrient cycling processes. In the Amazon basin, about 16% of the original forest area has been cleared(6), and about 30 - 50% of cleared land is estimated now to be in some stage of secondary forest succession following agricultural abandonment(7). Here we use forest age chronosequences to demonstrate that young successional forests growing after agricultural abandonment on highly weathered lowland tropical soils exhibit conservative N-cycling properties much like those of N-limited forests on younger soils in temperate latitudes. As secondary succession progresses, N-cycling properties recover and the dominance of a conservative P cycle typical of mature lowland tropical forests re-emerges. These successional shifts in N: P cycling ratios with forest age provide a mechanistic explanation for initially lower and then gradually increasing soil emissions of the greenhouse gas nitrous oxide (N2O). The patterns of N and P cycling during secondary forest succession, demonstrated here over decadal timescales, are similar to N- and P-cycling patterns during primary succession as soils age over thousands and millions of years, thus revealing that N availability in terrestrial ecosystems is ephemeral and can be disrupted by either natural or anthropogenic disturbances at several timescales.",soil
"Menezes, CEG; Guareschi, RF; Pereira, MG; Anjos, LHC; Correia, MEF; Balieiro, FC; Piccolo, MD",2017,ORGANIC MATTER IN AREAS UNDER SECONDARY FORESTS AND PASTURE,"The objective of this study was to evaluate the soil carbon stock (Stock C) and bulk density, the chemical and granulometric fractions of the organic matter and the isotopic signal of the soil delta C-13 in forest fragments and a mixed managed pasture (MMP). The study was carried out in the municipality of Pinheiral, State of Rio de Janeiro. The evaluated areas were: fragment of secondary forest in initial stage (SFIS) with 20 years of regeneration; fragment of secondary forest in intermediate stage (SFINS), with 25 years of regeneration; advanced secondary forest fragment (SFAS) with 60 years of regeneration and mixed pasture managed (MHP). The attributes related to soil carbon showed significant responses to the effects of land degradation / recovery processes, especially for the following indicators: total organic carbon, organic matter stock and particulate organic matter. No significant alterations for humic substances, and prevalence of the humin fraction was found. The most significant changes in delta C-13 values occurred up to the depth of 60 cm. In the grassland area, at 0-10 cm, 67% of the carbon stock comes from C-4 plants, reducing in the subsequent layers. In SFINS and SFAS areas, at 0-10 cm, the contribution of C-3 plants was significant, with minor changes in depth.",soil
"Nagy, RC; Rastetter, EB; Neill, C; Porder, S",2017,Nutrient limitation in tropical secondary forests following different management practices,"Secondary forests now make up more than one-half of all tropical forests, and constraints on their biomass accumulation will influence the strength of the terrestrial carbon (C) sink in the coming decades. However the variance in secondary tropical forest biomass for a given stand age and climate is high and our understanding of why is limited. We constructed a model of terrestrial C, nitrogen (N), and phosphorus (P) cycling to examine the influence of disturbance and management practices on nutrient limitation and biomass recovery in secondary tropical forests. The model predicted that N limited the rate of forest recovery in the first few decades following harvest, but that this limitation switched to P approximately 30-40 yr after abandonment, consistent with field data on N and P cycling from secondary tropical forest chronosequences. Simulated biomass recovery agreed well with field data of biomass accumulation following harvest (R-2 = 0.80). Model results showed that if all biomass remained on site following a severe disturbance such as blowdown, regrowth approached pre-disturbance biomass in 80-90 yr, and recovery was faster following smaller disturbances such as selective logging. Field data from regrowth on abandoned pastures were consistent with simulated losses of nutrients in soil organic matter, particularly P. Following any forest disturbance that involved the removal of nutrients (i.e., except blowdown), forest regrowth produced reduced biomass relative to the initial state as a result of nutrient loss through harvest, leaching and/or sequestration by secondary minerals. Differences in nutrient availability accounted for 49-94% of the variance in secondary forest biomass C at a given stand age. Management lessons from this study are the importance of strategies that help retain nutrients on site, recognizing the role of coarse woody debris in immobilization and subsequent release of nutrients, and the potential for nutrient additions to enhance biomass growth and recovery in secondary tropical forests.",soil
"Bihn, JH; Verhaagh, M; Brändle, M; Brandl, R",2008,Do secondary forests act as refuges for old growth forest animals?: Recovery of ant diversity in the Atlantic forest of Brazil,"The extent to which secondary forests occupying degraded and abandoned lands provide suitable habitat for forest-adapted species is an important conservation issue in times of vanishing old growth forests. We used ants (Hymenoptera: Formicidae), a functionally important and diverse group of invertebrates, to investigate the recovery of soil taxa during secondary forest succession in the Atlantic Forest of Southern Brazil. We compared the resilience of epigeic vs. hypogeic ant assemblages. For this purpose we established 27 sites that encompassed a chronosequence from pastures to old growth forests on two contrasting soil types. Our results are based on a collection of 35508 individuals in 40 genera. Richness and composition of ant assemblages in secondary forests have recovered slowly and have not approached conditions typical of old growth forests. The distribution of genera along the successional stages was arranged in a nested pattern where ant genera of younger successional stages were a subset of genera present in older stages. Edaphic conditions had no influence on the recovery process. Overall, richness of ants was lower at study sites with water-logged soils than at sites where soils did not exhibit hydromorphic properties. The hypogeic ant assemblage recovered more slowly than the epigeic assemblage. Our results show that secondary forests do not act as refuges for many forest-adapted animals which are currently restricted to discontinuous patches of old growth forest in the highly endangered Atlantic Forest of Brazil. Moreover, estimated recovery times of 50 to several hundred years suggest it would take much longer than previously presumed for complete recolonization. (c) Elsevier Ltd. All rights reserved.",soil
"Winbourne, JB; Feng, A; Reynolds, L; Piotto, D; Hastings, MG; Porder, S",2018,"Nitrogen cycling during secondary succession in Atlantic Forest of Bahia, Brazil","Carbon accumulation in tropical secondary forests may be limited in part by nitrogen (N) availability, but changes in N during tropical forest succession have rarely been quantified. We explored N cycle dynamics across a chronosequence of secondary tropical forests in the Mata Atlantica of Bahia, Brazil in order to understand how quickly the N cycle recuperates. We hypothesized that N fixation would decline over the course of succession as N availability and N gaseous losses increased. We measured N fixation, KCl-extractable N, net mineralization and nitrification, resin-strip sorbed N, gaseous N emissions and the soil delta N-15 in stands that were 20, 35, 50, and > 50 years old. Contrary to our initial hypothesis, we found no significant differences between stand ages in any measured variable. Our findings suggest that secondary forests in this region of the Atlantic forest reached pre-disturbance N cycling dynamics after just 20 years of succession. This result contrasts with previous study in the Amazon, where the N cycle recovered slowly after abandonment from pasture reaching pre-disturbance N cycling levels after similar to 50 years of succession. Our results suggest the pace of the N cycle, and perhaps tropical secondary forest, recovery, may vary regionally.",soil
"Santos, JC; Anjos, DV; de Almeida, WR; Aguiar, JJM; Delabie, JHC",2021,Ground-dwelling ant diversity in Amazonian secondary forests and neighboring pastures,"The expansion of livestock farming is one of the main causes of deforestation in the Brazilian Amazon. Intensive land use for beef production can cause changes, affecting native fauna composition and species richness. Ants are important organism of soil biota in tropical forests, mainly for their ecological attributes and their remarkable abundance. We investigated the effects of habitat loss by livestock farming on the richness and composition of ground-dwelling ants in the Brazilian Amazon. Ants were captured in five areas of secondary forests and pastures using pitfall traps for 48 h. Our results showed that the ant richness did not differ between habitats (p = 0.89). However, the species composition was different, resulting in two segregated clusters: one formed by forest areas and one by those of pasture. An indicator species analysis underscored the occurrence of three species that can be considered typical of the secondary forest, while a subset of four species from pasture, which probably tolerate land-use disturbance by livestock farming. Our results suggest the importance of maintaining secondary forests for biodiversity conservation and that livestock farming directly affects the taxonomic composition of ant species in the Amazonian biome.",soil
"de Camargo, PB; Trumbore, SE; Martinelli, LA; Davidson, EA; Nepstad, DC; Victoria, RL",1999,Soil carbon dynamics in regrowing forest of eastern Amazonia,"The future flora of Amazonia will include significant areas of secondary forest as degraded pastures are abandoned and secondary succession proceeds. The rate at which secondary forests regain carbon (C) stocks and re-establish biogeochemical cycles that resemble those of primary forests will influence the biogeochemistry of the region. Most studies have focused on the effects of deforestation on biogeochemical cycles. In this study, we present data on the recuperation of carbon stocks and carbon fluxes within a secondary forest of the eastern Amazon, and we compare these measurements to those for primary forest, degraded pasture, and productive pasture. Along a transect from a 23-y-old degraded pasture, through a 7-y-old secondary forest, through a 16-year-old secondary forest, and to a primary forest, the delta(13)C values of soil organic matter (SOM) in the top 10 cm of soil were -21.0, -26.5, -27.4, and -27.9 parts per thousand, respectively, indicating that the isotopic signature of SOM from C3 forest plants was rapidly re-established. The degraded pasture also had significant inputs of C from C3 plants. Radiocarbon data indicated that most of the C in the top 10 cm of soil had been fixed by plants during the last 30 years. Differences in soil C inventory among land use types were small compared to uncertainties in their measurement. Root inputs were nearly identical in primary and secondary forests, and litterfall in the secondary forest was 88% of the litterfall rate of the primary forest. In contrast, the secondary forest had only 17% of the above ground biomass. Because of rapid cycling rates of soil C and rapid recovery of C fluxes to and from the soil, the below ground C cycle in this secondary forest was nearly identical with those of the unaltered primary forest.",soil
"Smith, J; van de Kop, P; Reategui, K; Lombardi, I; Sabogal, C; Diaz, A",1999,Dynamics of secondary forests in slash-and-burn farming: interactions among land use types in the Peruvian Amazon,"The regeneration of secondary forests (SF) on previously cleared land in the Amazon is a promising development within the generally pessimistic scenario about tropical deforestation, This has stimulated efforts to augment the value of SF to farmers to induce them to increase the area in SE The objective of this paper was to document the regeneration of SF in slash-and-burn agriculture and to develop policy and technological recommendations for conserving forest cover on small farms and improve farmer welfare. The dynamics of SF in slash-and-burn fanning were studied by investigating changes in the role of SF with frontier development. Farm survey data from a colonist settlement area in the Peruvian Amazon were analyzed by using a recursive econometric model. Results confirmed that substantial areas of SF exist on slash-and-burn farms during the first few decades after settlement. As a result, over a third of the farm area is under forest cover. This implies that deforestation in slash-and-burn fanning may be less than previously believed. Soil recuperation is the most important reason for the existence of SF in slash-and-burn agriculture. During the relatively early stages of frontier development studied in this paper, fallow periods increased over time as site productivity declined, giving rise to secondary forests. Pastures lowered forested areas on farms and appear to impede the regeneration of SE Commercial exploitation of SF products was minimal and declines with frontier development, The conclusions show that improved short-rotation fallows may recuperate the soil at the expense of forest cover, particularly in areas where most of the forest cover consists of SE This conflict could be resolved by technologies that enrich SF and reinforce its multiple functions, including soil recuperation, Reduction of extensive cattle ranching may be a more effective way to conserve forest cover in slash-and-burn farming than technologies for shortening fallow periods. A 'quantum leap' in the benefits of forested land will be required if increases in forest cover are to be compatible with farmer welfare. This is likely to require innovative approaches, such as commercialization of the environmental services of forests. The results of this research could potentially shift efforts to control deforestation away from slash-and-burn farmers, thus reducing the perceived conflict between forest conservation and the livelihood of poor people. (C) 1999 Elsevier Science B.V. All rights reserved.",soil
"Demetrio, WC; Brown, GG; Pupin, B; Dudas, RT; Novo, R; Motta, ACV; Bartz, MLC; Borma, LS",2024,Soil macrofauna and water-related functions in patches of regenerating Atlantic Forest in Brazil,"The Atlantic Forest is the most threatened Brazilian biome, with less than 10% of its original surface cover remaining. Thus, several programs of payment for ecosystem services have been developed in this biome focusing on revegetation of degraded areas. Forest regeneration promotes the development of soil invertebrate communities that play an important role in soil processes, delivering a wide range of ecosystem services. We studied the changes in macrofauna communities in three forests under different regeneration stages and the relationship between these invertebrates and soil chemical and physical properties. Macrofauna and soil chemical and physical properties were sampled until 30 cm depth in three forest fragments of the Brazilian Atlantic Forest under different regeneration stages: young regenerating forest (similar to 8 years old), secondary forest in intermediate regeneration stage (similar to 20 years old) and native secondary forest fragment. No significant differences in saturated hydraulic conductivity (K-s) were observed among sites, however, the old native forest showed reduction in Ks in deeper layers compared to young regenerating forests. Several macrofauna taxa were positively correlated with Ks and soil carbon. The stage of regeneration modified the abundance and diversity of these invertebrates in general (except for earthworms), and the old native forest showed high abundance of most taxa. In conclusion, our study highlights the potential of macrofauna communities as robust indicators of soil functions re-establishment in regenerating forests within the Atlantic Forest biome. The observed positive correlations between macrofauna abundance and diversity with soil water infiltration and organic carbon content emphasize the key role of these invertebrates to essential ecosystem functions.",soil
"Melo, VF; Orrutéa, AG; Motta, ACV; Testoni, SA",2017,Land Use and Changes in Soil Morphology and Physical-Chemical Properties in Southern Amazon,"Many Amazonian farmers use the slash-and-burn method rather than fertilization for crop production. The aim of the present study was to evaluate changes in the morphological, physical, and chemical properties of naturally fertile Inceptisols after conversion from native forest to different uses in southern Amazonia, Brazil. Land covered by dense native forest (NF) was split into four areas of 1.0 ha each. Three areas were slashed and burned and then cultivated for 11 years with coffee (CO), secondary forest (SF), and pasture (PA). Four soil profiles were sampled in each treatment (four uses x four replicates). The mean value distribution of each physical and chemical analysis was determined for different depths, and standard error bars were placed to display significant differences among treatments. Results showed that morphology and physical properties were negatively affected after the establishment of PA and CO: a reduction in the thickness of the A horizon and in aggregate stability, a decrease in total porosity and macroporosity, and an increase in aggregate size and bulk density. Soil bulk density (SBD), geometric mean diameter of water-stable aggregates (GMD), and microporosity (SMi) were higher in soil under pasture as a consequence of more intense soil surface compaction. Native and secondary forests were the only treatments that showed granular structures in the A horizon. Significant differences between native forest and secondary forest were mainly found in the top soil layer for total porosity (STP) (NF>SF), macroporosity (SMa) (NF>SF), SBD (NF>SF) and GMD (SF>NF). Phosphorus contents in the A horizon increased from 6.2 to 21.5 mg kg(-1) in PA and to 27.2 mg kg(-1) in SF. Soil under coffee cultivation exhibited the lowest levels of Ca2+ and sum of bases in surface horizons. In all slash-and-burn areas there was a reduction in the C stock (Mg ha(-1)) of the A horizon: native forest 6.3, secondary forest 4.5, pasture 3.3, and coffee 3.1.",soil
"Junqueira, AB; Shepard, GH ; Clement, CR",2011,"Secondary Forests on Anthropogenic Soils of the Middle Madeira River: Valuation, Local Knowledge, and Landscape Domestication in Brazilian Amazonia","Secondary Forests on Anthropogenic Soils of the Middle Madeira River: Valuation, Local Knowledge, and Landscape Domestication in Brazilian Amazonia. Anthropogenic forests and soils are widespread throughout Amazonia and are the product of the landscape domestication process carried out by Amazonian societies since pre-Colombian times. Areas of Terra Preta de Aindio (TPI, Amazonian Dark Earths) are recognized by local rural residents and associated with specific forms of use and management of these soils and associated secondary forests. We used a quantitative approach to investigate how secondary forests on TPI are recognized and used by local residents along the middle Madeira River, Central Amazonia. Sixty-two residents were interviewed in three riverside communities and listed the ethnospecies and their uses in secondary forests on TPI and on non-anthropogenic soils (NAS). Local residents mentioned more ethnospecies on TPI (mean +/- standard deviation: 19.5 +/- 8.9) than on NAS (17.4 +/- 8.5), and the use value of the environment to the informants (UVia) was higher on TPI (19 +/- 5.7) than on NAS (16.2 +/- 6.0). Eleven ethnospecies were classified as anthropogenic soil indicators, among which three intensively used palms are widely recognized as indicators of anthropogenic areas and two are domesticated to some degree. The intimate and lasting interactions between humans and TPI have favored the maintenance of secondary forests in these domesticated landscapes with a diverse assemblage of useful and domesticated species. Rural residents in Amazonia recognize these forests as an important source of food and other resources. The use, management, and traditional knowledge related to these domesticated landscapes may provide useful information for the understanding of Amazonian historical ecology and for the design of more efficient biodiversity management and conservation plans.",soil
"da Silva, WB; Périco, E; Dalzochio, MS; Santos, M; Cajaiba, RL",2018,Are litterfall and litter decomposition processes indicators of forest regeneration in the neotropics? Insights from a case study in the Brazilian Amazon,"Litterfall plays an important role in nutrient cycling and maintenance of soil fertility in terrestrial ecosystems. We gauged the effects of anthropogenic impacts on the production, decomposition and seasonality of litterfall in primary and secondary forests within a tropical landscape of the Brazilian Amazon. We hypothesized that leaf litter quantity and quality would differ in line with forest disturbance and that these changes would translate into dissimilar decomposition rates. If proved, these processes could be used as surrogates for indentifying the ecological status of forest habitats. The obtained results have shown that, in the study area litterfall is reduced and litter decomposition is braked in disturbed habitats when compared with primary and recovered secondary forests. Also, within similar climatic conditions, the litter production and decomposition rates begin to stabilize in mature secondary forests. Our results represent a useful contribution to understand the dynamics of the litterfall and litter decomposition processes in the neotropics. Both processes were correlated and sensitive to disturbance gradients and should used as forest recovery indicators in ecological monitoring and ecological restoration studies.",soil
